listing_id,release_id,comments
2618676360,5539887,"[Discover our wide 7"" catalog with flat-rate shipping!] Purchase date on front cover. Bad removed sticker. "
2637414180,2021563,[💿 • Brand New. Factory Sealed. • Ships in less than 24 hours (carefully packed).]  
1634952265,1501808,"[Discover our wide 7"" catalog with flat-rate shipping!]  "
1607394499,1453277,"[Over 40,000 items available. Flat rate shipping to many countries.] The cover has an sticker with a number. Belongs to a Radio Station Collection. "
1805711068,6770097,"[Over 40,000 items available. Flat rate shipping to many countries.] Book included in NM condition. "
1402796821,1955916,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
1952188580,552919,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
1091366783,10927907,"[Discover our wide 7"" catalog with flat-rate shipping!] Photos Discogs from my copy "
1707054607,7934874,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2178844085,19932511,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
2193152687,410276,[💿 • Brand New. Factory Sealed. • Ships in less than 24 hours (carefully packed).]  
1498032112,3863228,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2640889005,5950139,[Experts in classical music. Come explore our collection!]  
1815338833,2596982,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2227406440,4903703,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
1544581282,16245172,[Experts in classical music. Come explore our collection!]  
1293363033,711263,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
2397288856,1368102,"[Huge 12"" inventory. Flat rate shipping to many countries. Combine orders and save shipping costs.] From an old distributor's warehouse. Brand New. Not sealed. "
1210915863,8720367,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
1134831815,14167671,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
1951792502,9570510,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2135014667,672939,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
2068619528,17503615,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2597500734,419273,"[Huge 12"" inventory. Flat rate shipping to many countries. Combine orders and save shipping costs.]  "
1400528422,1183182,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2281418191,4224402,[Experts in classical music. Come explore our collection!]  
2172124712,10479173,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
1411129534,772540,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
1990758878,9102936,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
1841006104,3331746,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2475091343,12609939,"[Discover our wide 7"" catalog with flat-rate shipping!] Date written on front cover. "
1543639213,4770014,[Experts in classical music. Come explore our collection!]  
1598460622,2041317,"[Discover our wide 7"" catalog with flat-rate shipping!]  "
2557608690,4359536,"[Discover our wide 7"" catalog with flat-rate shipping!] Vinyl belonging to the Radio Santander archive. Vinyls with very little or no use, covers for the most part with a sticker with the catalog number of the collection. "
1955066741,5387641,"[Over 40,000 items available. Flat rate shipping to many countries.] Vinyl belonging to the Radio Santander archive. Vinyls with very little or no use, covers for the most part with a sticker with the catalog number of the collection. "
2491509374,2465930,[💿 • Brand New. Factory Sealed. • Ships in less than 24 hours (carefully packed).]  
2637238401,5955899,"[Huge 12"" inventory. Flat rate shipping to many countries. Combine orders and save shipping costs.]  "
1948687103,767240,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
1772241409,1412463,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2396827861,946257,"[Huge 12"" inventory. Flat rate shipping to many countries. Combine orders and save shipping costs.] From an old distributor's warehouse. Brand New. Not sealed. "
1861582426,11440019,"[Over 40,000 items available. Flat rate shipping to many countries.] From an old distributor's warehouse. Brand New. "
2578116000,2516811,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
2105976620,5041361,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
2577887439,7625704,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
2075036861,7862930,"[Over 40,000 items available. Flat rate shipping to many countries.] Vinyl belonging to the Radio Santander archive. Vinyls with very little or no use, covers for the most part with a sticker with the catalog number of the collection. "
2410672769,6726052,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
2178158045,5439992,"[Over 40,000 items available. Flat rate shipping to many countries.]  "
2469695486,13216024,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
2281299373,17844829,[Experts in classical music. Come explore our collection!]  
2688719302,154582,[💿 • More CDs like this available (Merge + Save)! • Ships in less than 24 hours (carefully packed)]  
